longitude,latitude,from,to,label     
-52.325437000000000,-26.840584000000000,2012-01-01,2013-01-01,Area_Antropizada
-52.342390000000000,-26.833378000000000,2012-01-01,2013-01-01,Area_Antropizada
-52.305283000000000,-26.894324000000000,2012-01-01,2013-01-01,Area_Antropizada
-52.348967999999900,-26.899981000000000,2012-01-01,2013-01-01,Area_Antropizada
-52.387203999999900,-26.888629999999900,2012-01-01,2013-01-01,Area_Antropizada
-52.388621000000000,-26.879687000000000,2012-01-01,2013-01-01,Area_Antropizada
-52.408515000000000,-26.873294999999900,2012-01-01,2013-01-01,Area_Antropizada
-52.399383999999900,-26.865817000000000,2012-01-01,2013-01-01,Area_Antropizada
-52.405467000000000,-26.863778000000000,2012-01-01,2013-01-01,Area_Antropizada
-52.485616999999900,-26.880831000000000,2012-01-01,2013-01-01,Area_Antropizada
-52.484507000000000,-26.886835000000000,2012-01-01,2013-01-01,Area_Antropizada
-52.486204999999900,-26.918150000000000,2012-01-01,2013-01-01,Area_Antropizada
-52.483879000000000,-26.914024999999900,2012-01-01,2013-01-01,Area_Antropizada
-52.488104000000000,-26.864111999999900,2012-01-01,2013-01-01,Area_Antropizada
-52.462299999999900,-26.865352000000000,2012-01-01,2013-01-01,Area_Antropizada
-52.293123000000000,-26.906395000000000,2012-01-01,2013-01-01,Area_Antropizada
-52.306877000000000,-26.906797999999900,2012-01-01,2013-01-01,Area_Antropizada
-52.358497000000000,-26.865725000000000,2012-01-01,2013-01-01,Area_Antropizada
-52.443707000000000,-26.835576000000000,2012-01-01,2013-01-01,Area_Antropizada
-52.469501999999900,-26.916020000000000,2013-01-01,2014-01-01,Area_Antropizada
-52.467976999999900,-26.900133000000000,2013-01-01,2014-01-01,Area_Antropizada
-52.464719000000000,-26.897258999999900,2013-01-01,2014-01-01,Area_Antropizada
-52.483055000000000,-26.893827000000000,2013-01-01,2014-01-01,Area_Antropizada
-52.484718999999900,-26.884367999999900,2013-01-01,2014-01-01,Area_Antropizada
-52.478045999999900,-26.875093000000000,2013-01-01,2014-01-01,Area_Antropizada
-52.467457000000000,-26.876051000000000,2013-01-01,2014-01-01,Area_Antropizada
-52.465862999999900,-26.877458000000000,2013-01-01,2014-01-01,Area_Antropizada
-52.456781999999900,-26.875803999999900,2013-01-01,2014-01-01,Area_Antropizada
-52.458444999999900,-26.882466000000000,2013-01-01,2014-01-01,Area_Antropizada
-52.460768000000000,-26.888788000000000,2013-01-01,2014-01-01,Area_Antropizada
-52.458739999999900,-26.890689999999900,2013-01-01,2014-01-01,Area_Antropizada
-52.441443999999900,-26.890566000000000,2013-01-01,2014-01-01,Area_Antropizada
-52.431928999999900,-26.892112000000000,2013-01-01,2014-01-01,Area_Antropizada
-52.444754000000000,-26.896253999999900,2013-01-01,2014-01-01,Area_Antropizada
-52.439520000000000,-26.898820000000000,2013-01-01,2014-01-01,Area_Antropizada
-52.444633000000000,-26.901153000000000,2013-01-01,2014-01-01,Area_Antropizada
-52.448307000000000,-26.912898999999900,2013-01-01,2014-01-01,Area_Antropizada
-52.441063000000000,-26.916467999999900,2013-01-01,2014-01-01,Area_Antropizada
-52.450507999999900,-26.918662999999900,2013-01-01,2014-01-01,Area_Antropizada
-52.424044000000000,-26.908541000000000,2013-01-01,2014-01-01,Area_Antropizada
-52.400266000000000,-26.914891999999900,2013-01-01,2014-01-01,Area_Antropizada
-52.405760000000000,-26.914041999999900,2013-01-01,2014-01-01,Area_Antropizada
-52.396835000000000,-26.913200000000000,2013-01-01,2014-01-01,Area_Antropizada
-52.419521000000000,-26.886662999999900,2013-01-01,2014-01-01,Area_Antropizada
-52.414338999999900,-26.878686999999900,2013-01-01,2014-01-01,Area_Antropizada
-52.406435999999900,-26.878454999999900,2013-01-01,2014-01-01,Area_Antropizada
-52.401721999999900,-26.876491999999900,2013-01-01,2014-01-01,Area_Antropizada
-52.392432999999900,-26.870740999999900,2013-01-01,2014-01-01,Area_Antropizada
-52.384495000000000,-26.865887000000000,2013-01-01,2014-01-01,Area_Antropizada
-52.382589000000000,-26.859300000000000,2013-01-01,2014-01-01,Area_Antropizada
-52.376748999999900,-26.852188000000000,2013-01-01,2014-01-01,Area_Antropizada
-52.372295000000000,-26.850874000000000,2013-01-01,2014-01-01,Area_Antropizada
-52.355310000000000,-26.845863999999900,2013-01-01,2014-01-01,Area_Antropizada
-52.335571000000000,-26.868483999999900,2013-01-01,2014-01-01,Area_Antropizada
-52.315553999999900,-26.855481000000000,2013-01-01,2014-01-01,Area_Antropizada
-52.331637000000000,-26.847007999999900,2013-01-01,2014-01-01,Area_Antropizada
-52.319955999999900,-26.860862000000000,2013-01-01,2014-01-01,Area_Antropizada
-52.342840000000000,-26.835096000000000,2013-01-01,2014-01-01,Area_Antropizada
-52.333323000000000,-26.837765000000000,2013-01-01,2014-01-01,Area_Antropizada
-52.469673999999900,-26.846378000000000,2013-01-01,2014-01-01,Area_Antropizada
-52.485650000000000,-26.831669000000000,2013-01-01,2014-01-01,Area_Antropizada
-52.299860000000000,-26.855869999999900,2013-01-01,2014-01-01,Area_Antropizada
-52.291837999999900,-26.857628999999900,2013-01-01,2014-01-01,Area_Antropizada
-52.302306999999900,-26.840282999999900,2013-01-01,2014-01-01,Area_Antropizada
-52.464452999999900,-26.903846000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.484017999999900,-26.913660000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.485047999999900,-26.901063000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.483148999999900,-26.897877000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.478546999999900,-26.896787000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.483181000000000,-26.893744999999900,2014-01-01,2015-01-01,Area_Antropizada
-52.467478000000000,-26.889842000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.487814999999900,-26.883355000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.485595000000000,-26.880944000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.478033000000000,-26.875260999999900,2014-01-01,2015-01-01,Area_Antropizada
-52.488168999999900,-26.864122999999900,2014-01-01,2015-01-01,Area_Antropizada
-52.477518000000000,-26.856659000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.480348999999900,-26.848562999999900,2014-01-01,2015-01-01,Area_Antropizada
-52.469762000000000,-26.846525000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.469923000000000,-26.838141000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.485691000000000,-26.831651000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.449714999999900,-26.839604999999900,2014-01-01,2015-01-01,Area_Antropizada
-52.451388000000000,-26.830760999999900,2014-01-01,2015-01-01,Area_Antropizada
-52.449972000000000,-26.833202000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.434590000000000,-26.835068000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.421267999999900,-26.833776000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.438194000000000,-26.841011999999900,2014-01-01,2015-01-01,Area_Antropizada
-52.407302000000000,-26.836102000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.414703000000000,-26.839088000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.403858999999900,-26.832082000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.382395000000000,-26.825707000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.379691999999900,-26.830186999999900,2014-01-01,2015-01-01,Area_Antropizada
-52.348542999999900,-26.830130000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.342364000000000,-26.833317000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.335478000000000,-26.834810000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.332999999999900,-26.837595000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.302349000000000,-26.840351999999900,2014-01-01,2015-01-01,Area_Antropizada
-52.315702999999900,-26.850401000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.319758000000000,-26.860851000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.303314000000000,-26.856601999999900,2014-01-01,2015-01-01,Area_Antropizada
-52.305342000000000,-26.862113999999900,2014-01-01,2015-01-01,Area_Antropizada
-52.298520000000000,-26.869204000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.302799000000000,-26.870094000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.305567000000000,-26.894117999999900,2014-01-01,2015-01-01,Area_Antropizada
-52.306918000000000,-26.906343000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.297103999999900,-26.909987000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.334012999999900,-26.877184000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.344439999999900,-26.878160000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.353900000000000,-26.878160000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.353031999999900,-26.882781000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.363329000000000,-26.884647000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.374077000000000,-26.879049999999900,2014-01-01,2015-01-01,Area_Antropizada
-52.384405999999900,-26.884588999999900,2014-01-01,2015-01-01,Area_Antropizada
-52.398918999999900,-26.892050999999900,2014-01-01,2015-01-01,Area_Antropizada
-52.398276000000000,-26.886396999999900,2014-01-01,2015-01-01,Area_Antropizada
-52.402844999999900,-26.881059000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.392933999999900,-26.883154000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.402137000000000,-26.886597999999900,2014-01-01,2015-01-01,Area_Antropizada
-52.404004000000000,-26.877098000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.407221999999900,-26.878274999999900,2014-01-01,2015-01-01,Area_Antropizada
-52.404004000000000,-26.872620000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.398437000000000,-26.868745000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.407093000000000,-26.866993999999900,2014-01-01,2015-01-01,Area_Antropizada
-52.417326000000000,-26.874457000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.423954999999900,-26.879795999999900,2014-01-01,2015-01-01,Area_Antropizada
-52.426721999999900,-26.880828999999900,2014-01-01,2015-01-01,Area_Antropizada
-52.422153000000000,-26.888435000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.431967999999900,-26.892137999999900,2014-01-01,2015-01-01,Area_Antropizada
-52.436441000000000,-26.891103999999900,2014-01-01,2015-01-01,Area_Antropizada
-52.437534999999900,-26.883987000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.439529999999900,-26.879049999999900,2014-01-01,2015-01-01,Area_Antropizada
-52.458644000000000,-26.890730999999900,2014-01-01,2015-01-01,Area_Antropizada
-52.460897000000000,-26.888636000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.458450999999900,-26.882522999999900,2014-01-01,2015-01-01,Area_Antropizada
-52.466625000000000,-26.876467000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.462088000000000,-26.865243000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.471806000000000,-26.868888999999900,2014-01-01,2015-01-01,Area_Antropizada
-52.466593000000000,-26.861052000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.456263000000000,-26.850487000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.448379000000000,-26.848247000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.445129000000000,-26.851348000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.436923000000000,-26.848420000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.417583000000000,-26.860277000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.410471999999900,-26.857175999999900,2014-01-01,2015-01-01,Area_Antropizada
-52.405386999999900,-26.854075999999900,2014-01-01,2015-01-01,Area_Antropizada
-52.402169999999900,-26.849568000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.413432000000000,-26.844342999999900,2014-01-01,2015-01-01,Area_Antropizada
-52.376683000000000,-26.852066000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.369796999999900,-26.859760000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.362524000000000,-26.840093000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.324005999999900,-26.902211000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.415973999999900,-26.884604000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.418838000000000,-26.879380000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.416972000000000,-26.886699000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.411372999999900,-26.888048000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.424084000000000,-26.908681999999900,2014-01-01,2015-01-01,Area_Antropizada
-52.427976999999900,-26.911408000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.421638000000000,-26.853946000000000,2014-01-01,2015-01-01,Area_Antropizada
-52.365935000000000,-26.838011999999900,2014-01-01,2015-01-01,Area_Antropizada
-52.483834999999900,-26.913809000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.469347999999900,-26.915944000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.448047000000000,-26.912879000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.454309000000000,-26.916053000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.464376000000000,-26.903682000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.485185999999900,-26.900836000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.464621000000000,-26.897113000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.469287000000000,-26.907843000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.458728000000000,-26.890598000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.451177999999900,-26.898645999999900,2015-01-01,2016-01-01,Area_Antropizada
-52.457439000000000,-26.882659000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.466769999999900,-26.876252999999900,2015-01-01,2016-01-01,Area_Antropizada
-52.472275000000000,-26.868677000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.467748000000000,-26.876086999999900,2015-01-01,2016-01-01,Area_Antropizada
-52.462007999999900,-26.865082999999900,2015-01-01,2016-01-01,Area_Antropizada
-52.466999000000000,-26.860821000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.477587999999900,-26.856655000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.465395000000000,-26.849848000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.470101000000000,-26.846444000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.479405999999900,-26.848544000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.485574000000000,-26.831429000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.471027999999900,-26.840019000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.492561000000000,-26.822648000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.470171999999900,-26.837918999999900,2015-01-01,2016-01-01,Area_Antropizada
-52.451312000000000,-26.830729000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.449885999999900,-26.833179000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.443041000000000,-26.831555999999900,2015-01-01,2016-01-01,Area_Antropizada
-52.445216000000000,-26.833974000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.421044000000000,-26.833783000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.407246000000000,-26.836010000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.412771999999900,-26.835279000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.403717000000000,-26.831969999999900,2015-01-01,2016-01-01,Area_Antropizada
-52.379615999999900,-26.830188000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.382361000000000,-26.825575000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.365712000000000,-26.837918999999900,2015-01-01,2016-01-01,Area_Antropizada
-52.342289000000000,-26.833210999999900,2015-01-01,2016-01-01,Area_Antropizada
-52.338509000000000,-26.835024000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.332163000000000,-26.835310000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.333517999999900,-26.837759999999900,2015-01-01,2016-01-01,Area_Antropizada
-52.321967000000000,-26.828025000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.297331999999900,-26.834164999999900,2015-01-01,2016-01-01,Area_Antropizada
-52.302430000000000,-26.840178000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.298045000000000,-26.842880999999900,2015-01-01,2016-01-01,Area_Antropizada
-52.315514000000000,-26.850515999999900,2015-01-01,2016-01-01,Area_Antropizada
-52.299897999999900,-26.855605000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.315407000000000,-26.856973000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.318258999999900,-26.850611000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.300505000000000,-26.861170999999900,2015-01-01,2016-01-01,Area_Antropizada
-52.291449000000000,-26.857544999999900,2015-01-01,2016-01-01,Area_Antropizada
-52.296546999999900,-26.862030000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.309845000000000,-26.864032999999900,2015-01-01,2016-01-01,Area_Antropizada
-52.310166000000000,-26.866610000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.302430000000000,-26.869980999999900,2015-01-01,2016-01-01,Area_Antropizada
-52.294479000000000,-26.873542000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.305425000000000,-26.894020999999900,2015-01-01,2016-01-01,Area_Antropizada
-52.306885999999900,-26.906357000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.295833999999900,-26.902128999999900,2015-01-01,2016-01-01,Area_Antropizada
-52.290522000000000,-26.907755999999900,2015-01-01,2016-01-01,Area_Antropizada
-52.297189000000000,-26.909886000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.293658999999900,-26.913160000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.290522000000000,-26.919613999999900,2015-01-01,2016-01-01,Area_Antropizada
-52.316049000000000,-26.917166000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.316761999999900,-26.918406000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.329062000000000,-26.918724000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.335442999999900,-26.903908999999900,2015-01-01,2016-01-01,Area_Antropizada
-52.344214000000000,-26.907470000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.345996000000000,-26.911221000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.371879999999900,-26.908964000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.371060000000000,-26.915068000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.377226999999900,-26.912652000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.392344000000000,-26.909154999999900,2015-01-01,2016-01-01,Area_Antropizada
-52.396729000000000,-26.913191999999900,2015-01-01,2016-01-01,Area_Antropizada
-52.411310999999900,-26.904640000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.420259000000000,-26.915545000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.424073999999900,-26.908455000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.430669999999900,-26.906324999999900,2015-01-01,2016-01-01,Area_Antropizada
-52.441330000000000,-26.916594000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.446927000000000,-26.912302000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.444574000000000,-26.901111000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.439689999999900,-26.898758000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.444645000000000,-26.896215000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.436230999999900,-26.891031999999900,2015-01-01,2016-01-01,Area_Antropizada
-52.431739000000000,-26.892177000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.441685999999900,-26.890523000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.435768000000000,-26.886102999999900,2015-01-01,2016-01-01,Area_Antropizada
-52.437693000000000,-26.883973000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.435732000000000,-26.879489000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.426177000000000,-26.880887999999900,2015-01-01,2016-01-01,Area_Antropizada
-52.421185999999900,-26.875354999999900,2015-01-01,2016-01-01,Area_Antropizada
-52.413021999999900,-26.884672999999900,2015-01-01,2016-01-01,Area_Antropizada
-52.422113000000000,-26.888328999999900,2015-01-01,2016-01-01,Area_Antropizada
-52.414304999999900,-26.878216999999900,2015-01-01,2016-01-01,Area_Antropizada
-52.408279999999900,-26.877421999999900,2015-01-01,2016-01-01,Area_Antropizada
-52.408458000000000,-26.873161000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.413556999999900,-26.881015999999900,2015-01-01,2016-01-01,Area_Antropizada
-52.408065999999900,-26.884768000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.400972000000000,-26.883082999999900,2015-01-01,2016-01-01,Area_Antropizada
-52.399616999999900,-26.876245999999900,2015-01-01,2016-01-01,Area_Antropizada
-52.403787999999900,-26.873224000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.413770999999900,-26.866641000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.417335999999900,-26.860503000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.404893000000000,-26.859835000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.395480999999900,-26.855128000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.393020999999900,-26.863174999999900,2015-01-01,2016-01-01,Area_Antropizada
-52.392130000000000,-26.870266999999900,2015-01-01,2016-01-01,Area_Antropizada
-52.354125000000000,-26.876881999999900,2015-01-01,2016-01-01,Area_Antropizada
-52.353341000000000,-26.882860000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.329810000000000,-26.877517999999900,2015-01-01,2016-01-01,Area_Antropizada
-52.330809000000000,-26.851056000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.327314999999900,-26.853410000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.327385999999900,-26.857163000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.319828000000000,-26.860789000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.295763000000000,-26.871189000000000,2015-01-01,2016-01-01,Area_Antropizada
-52.464388000000000,-26.903725999999900,2016-01-01,2017-01-01,Area_Antropizada
-52.446905000000000,-26.912271000000000,2016-01-01,2017-01-01,Area_Antropizada
-52.469864000000000,-26.916098999999900,2016-01-01,2017-01-01,Area_Antropizada
-52.483924999999900,-26.913713000000000,2016-01-01,2017-01-01,Area_Antropizada
-52.476770000000000,-26.905002000000000,2016-01-01,2017-01-01,Area_Antropizada
-52.482992000000000,-26.893737999999900,2016-01-01,2017-01-01,Area_Antropizada
-52.464762000000000,-26.897123000000000,2016-01-01,2017-01-01,Area_Antropizada
-52.460842000000000,-26.888521999999900,2016-01-01,2017-01-01,Area_Antropizada
-52.458727000000000,-26.890574999999900,2016-01-01,2017-01-01,Area_Antropizada
-52.455863999999900,-26.887578999999900,2016-01-01,2017-01-01,Area_Antropizada
-52.485605000000000,-26.880642000000000,2016-01-01,2017-01-01,Area_Antropizada
-52.457233000000000,-26.882750999999900,2016-01-01,2017-01-01,Area_Antropizada
-52.467686000000000,-26.876090999999900,2016-01-01,2017-01-01,Area_Antropizada
-52.484796000000000,-26.884305000000000,2016-01-01,2017-01-01,Area_Antropizada
-52.485979000000000,-26.863880999999900,2016-01-01,2017-01-01,Area_Antropizada
-52.462085999999900,-26.865213000000000,2016-01-01,2017-01-01,Area_Antropizada
-52.442176000000000,-26.866878000000000,2016-01-01,2017-01-01,Area_Antropizada
-52.467374999999900,-26.860883999999900,2016-01-01,2017-01-01,Area_Antropizada
-52.445037999999900,-26.851113999999900,2016-01-01,2017-01-01,Area_Antropizada
-52.456361999999900,-26.850448000000000,2016-01-01,2017-01-01,Area_Antropizada
-52.469926000000000,-26.846450999999900,2016-01-01,2017-01-01,Area_Antropizada
-52.485666999999900,-26.831517000000000,2016-01-01,2017-01-01,Area_Antropizada
-52.449891000000000,-26.833127000000000,2016-01-01,2017-01-01,Area_Antropizada
-52.438412000000000,-26.840872000000000,2016-01-01,2017-01-01,Area_Antropizada
-52.429389999999900,-26.839012000000000,2016-01-01,2017-01-01,Area_Antropizada
-52.421146000000000,-26.833738000000000,2016-01-01,2017-01-01,Area_Antropizada
-52.436700999999900,-26.835348000000000,2016-01-01,2017-01-01,Area_Antropizada
-52.416665999999900,-26.837012999999900,2016-01-01,2017-01-01,Area_Antropizada
-52.411501999999900,-26.835570000000000,2016-01-01,2017-01-01,Area_Antropizada
-52.403880000000000,-26.832072000000000,2016-01-01,2017-01-01,Area_Antropizada
-52.404378000000000,-26.832877000000000,2016-01-01,2017-01-01,Area_Antropizada
-52.407364999999900,-26.836096999999900,2016-01-01,2017-01-01,Area_Antropizada
-52.392836000000000,-26.835570000000000,2016-01-01,2017-01-01,Area_Antropizada
